tweet_id,author_id,created_at,text,in_response_to_tweet_id
2470126,706559,Wed Nov 15 11:08:39 +0000 2017,@AmazonHelp Something was supposed to be delivered today but it says on the order page ‘arrival at incorrect carrier facility’ and to ‘check back tuesday’ (yesterday),2470125.0
1705395,516907,Mon Nov 06 22:45:42 +0000 2017,@AmazonHelp Thank you 🙌🏻,1705394.0
2957011,816249,Wed Nov 29 19:36:39 +0000 2017,@AmazonHelp C’est Amazon Logistics,2957010.0
55058,128483,Wed Nov 01 20:08:21 +0000 2017,"@AmazonHelp yes I have been through all of the steps. I will check with nighbours further down the street tomorrow, but no notification of delivery 1/2",55057.0
2355213,680435,Tue Nov 14 03:08:58 +0000 2017,@AmazonHelp But kindly help me to get it faster and help me to get it on 16 . I a k so know promise date but can't you do something,2355212.0
409338,152461,Mon Oct 16 07:33:17 +0000 2017,"@AmazonHelp Well you couldn't resolve the 'issue'"" your colleagues messed me around and even your superiors did. I genuinely feel  worthless to you. :(",409336.0
561650,251433,Sat Dec 02 23:14:01 +0000 2017,@AmazonHelp Jk I figured it out ty tho,561649.0
2367926,683416,Mon Nov 13 23:37:25 +0000 2017,@AmazonHelp Voilà j'ai envoyé en message privé,2367925.0
388845,122868,Mon Oct 09 15:36:04 +0000 2017,@AmazonHelp Sick of ur response.No need of it.,388843.0
685748,283696,Mon Nov 20 16:36:09 +0000 2017,@AmazonHelp MAY I KNOW HOW MANY TIMES I NEED TO UPDATE..I AM NOY GOING TO UPDATE ANY MORE..IF U WANT TO CONTINUE ..U CAN ELSE CLOSE THIS DISCUSSION.,685749.0
494124,232821,Fri Dec 01 17:21:23 +0000 2017,@AmazonHelp Made order next Saturday failed to be delivered on Wednesday and Thursday rang yesterday and this afternoon around 12:30 was promised that would be delivered today then rang again this afternoon told be delivered until Monday now been waiting 7 days one of worse customer services,494123.0
2853739,791488,Mon Nov 27 20:30:30 +0000 2017,@AmazonHelp none at all 😁,2853738.0
394454,182608,Thu Oct 12 17:20:39 +0000 2017,@AmazonHelp No resolution provided. Still facing issue,394449.0
69915,131820,Wed Nov 29 14:01:54 +0000 2017,@AmazonHelp Sure. I loved the positive reply! :),69916.0
425185,216160,Tue Nov 21 17:08:45 +0000 2017,@AmazonHelp Yes thanks. I’ve picked it up.,425184.0
1020928,146755,Sun Oct 22 23:03:27 +0000 2017,@AmazonHelp Yes reordered no delivery date and customer services advised they'd speak to the relevant department however 9 days later still no shipment.,1020927.0
1664818,493914,Mon Nov 06 11:26:52 +0000 2017,@AmazonHelp Thanks,1664817.0
182983,159037,Fri Sep 29 19:15:52 +0000 2017,@AmazonHelp What is the status still no response,182984.0
2338692,413685,Fri Oct 20 08:23:46 +0000 2017,@AmazonHelp I want it today else cancel it,2338691.0
326313,193740,Mon Oct 09 05:24:59 +0000 2017,@AmazonHelp I filled the form yesterday and still waiting for YOU to revert. 3rd day of #amazonprime delivery.#Joke,326312.0
787167,307770,Fri Oct 13 05:02:14 +0000 2017,@AmazonHelp We have already done this. Which part r u not understanding. We are getting standard answer thru IVR. Pls give sme no to speak to,787165.0
1450031,456475,Thu Nov 02 17:15:21 +0000 2017,@AmazonHelp No. It was a book preorder for @129184 ‘Secret for the Mad’,1450030.0
2451668,702526,Sun Oct 29 17:53:40 +0000 2017,@AmazonHelp It was fulfilled by Amazon with Prime Shipping.,2451667.0
656144,276095,Wed Nov 22 22:35:03 +0000 2017,@AmazonHelp Not yet but will not be surprised due to the fact that it has not yet been dispatched,656145.0
1434127,452971,Thu Nov 02 22:27:09 +0000 2017,@AmazonHelp Spoke via chat and basically it's tough! https://t.co/VEYEeAJDMU,1434126.0
1529965,474840,Fri Nov 03 20:02:22 +0000 2017,@AmazonHelp I’ve had multiple bad experiences this year and I’ve rolled with it but it’s getting utterly ridiculous. Phone support was no help at all,1529964.0
2282907,204331,Sat Nov 11 22:03:55 +0000 2017,@AmazonHelp Thanks! Just ordered a replacement!,2282906.0
613942,219031,Sat Nov 25 17:15:55 +0000 2017,@AmazonHelp I am No longer a prime member,613941.0
295364,186346,Fri Oct 06 18:17:41 +0000 2017,@AmazonHelp My order didn’t ship until TWO DAYS after I ordered! #fail,295363.0
183008,159043,Thu Oct 05 13:35:36 +0000 2017,"@AmazonHelp 2nd day in a row. Do you not use safe places anymore. Why are people paying for a prime service, when we don't get one. https://t.co/IgOLLLbE6i",183007.0
1429847,452074,Thu Nov 02 07:32:39 +0000 2017,@AmazonHelp I have messaged Amazon a couple of times and nobody bothered to pick it up.,1429846.0
1678569,510543,Mon Nov 06 15:40:14 +0000 2017,@AmazonHelp Beide Male 06.11. Nur eines ist angekommen. Bestellt letzten Mi abend und Do früh. Beim Kauf hieß es aber Prime Premiumversand zum 03.11.,1678568.0
2141369,629690,Thu Nov 09 00:54:44 +0000 2017,@AmazonHelp C’est bien parfois de montrer aux entreprises qui gerent qu’on le voit 👍🏽 pensez à le dire à ceux qui ne le voient pas (employés etc) 👍🏽☺️,2141368.0
2520553,677334,Thu Nov 16 01:24:06 +0000 2017,@AmazonHelp Nothing! It was 50 miles from me 3:50 am and no updates until after 8pm today,2520552.0
962030,348283,Sun Oct 22 03:17:45 +0000 2017,@AmazonHelp Bt then u r refunding only 100rs if customer is self returning.  Plz return full payment according to bill...unfair to customers,962031.0
1125052,385283,Sat Nov 25 23:16:28 +0000 2017,@AmazonHelp submitted book to @14835 on 11/16  - still on available on amazon.,1125051.0
775044,305176,Thu Oct 12 03:00:42 +0000 2017,"@AmazonHelp お返事ありがとうございます。

しかし、それは購入手続きの段階での注意書で知っていますが、水曜日の注文が今までだと遅くても金曜日には到着していたのに、4～5日もかかると判明した事への返事としては、説明不足ですね(;^_^A",775043.0
440466,162952,Wed Oct 25 18:25:46 +0000 2017,@AmazonHelp est ce normal ?,440465.0
682983,282997,Thu Nov 23 12:21:16 +0000 2017,"@AmazonHelp Ok, muchas gracias.",682982.0
2921374,397156,Wed Nov 29 10:43:51 +0000 2017,@AmazonHelp Just get my package to me today! I hope millions of people read this and see how you don't care about your customers,2921372.0
1384084,256791,Sat Nov 25 21:49:21 +0000 2017,"@AmazonHelp Hi, it says this. No updates since the 15th, where I was told you don't have it in stock, which is weird since I pre-ordered it months before the release date. https://t.co/FaavrgVdPI",1384085.0
493427,232632,Fri Dec 01 17:23:59 +0000 2017,@AmazonHelp Monday I think,493433.0
1388465,404793,Sat Oct 28 10:46:16 +0000 2017,@AmazonHelp Ça fait un moment que je remonte des dysfonctionnements... Pourtant aucun changement :/,1388461.0
2909184,805437,Tue Nov 28 20:56:51 +0000 2017,"@AmazonHelp Directamente por Amazon España. Hoy al revisar el estado del pedido vi que había sido devuelto, pero no recibí ningún aviso.",2909185.0
1464284,459871,Thu Nov 02 19:11:35 +0000 2017,@AmazonHelp 8-9 nov,1464283.0
2192581,641745,Thu Nov 09 19:47:36 +0000 2017,"@AmazonHelp Hmm, how can it have gotten delivered if it never got delivered to the carrier? https://t.co/tD2Dgrvs1H",2192582.0
230627,170933,Mon Oct 16 14:49:48 +0000 2017,@AmazonHelp What an amazing service still not credited my account for the broken cups,230626.0
1223117,406998,Thu Nov 02 11:59:21 +0000 2017,@AmazonHelp Ahí es donde entré antes y vi que el paquete ha llegado a su punto de recogida. No hay datos de la empresa de transporte...,1223116.0
2863440,795385,Mon Nov 27 23:20:13 +0000 2017,@AmazonHelp Saludos y muchas gracias,2863441.0
2352306,142697,Mon Nov 13 19:36:10 +0000 2017,"@AmazonHelp Thanks, I have sent an e-mail now.....",2352305.0
332785,192400,Tue Oct 10 05:19:49 +0000 2017,@AmazonHelp Still My Money not return back from AMAZON even after 4 days. Vahiyat Service by @115850 @115821 @AmazonHelp,332784.0
2772985,775051,Tue Nov 21 15:35:11 +0000 2017,@AmazonHelp No help at all because they are sold out in your store. So basically zero help whatsoever,2772984.0
175367,157181,Fri Nov 24 23:48:45 +0000 2017,"@AmazonHelp Difficulté à avoir du stock.
Or, @157182 annonce un réassort le 5 Décembre et jusqu'à présent on m'avait promis une livraison à cette période. Maintenant on annule à nouveau cela signifie que @157182  à donc menti (une fois de plus) sur le réassort ?",175368.0
1395579,444535,Sat Oct 28 14:41:56 +0000 2017,"@AmazonHelp According to your site, since was ordered before the cut off time should be shipped the next day as an Amazon Prime order. @AmazonHelp",1395578.0
91510,135838,Sun Dec 03 06:47:44 +0000 2017,"@AmazonHelp @119351 @18220 __email__,Mob-9717597841.I have placed an order on Amazon on 21NOV. Order ID-4__credit_card__.Not received order Still.Estimated Delivery Date of Order was 27Nov &amp;Today is3Dev.I need token of Apology of Rs1000 in AmazonPayBal. https://t.co/mVcDCpmMjc",91509.0
1209837,404005,Wed Oct 25 11:48:25 +0000 2017,@AmazonHelp Yes it does. I've had 2 emails saying it's out for delivery one Sunday night and one last night and it still hasn't arrived,1209836.0
331309,194885,Sun Oct 08 05:41:11 +0000 2017,@AmazonHelp Trying to contact your customer care no and support but no response from you people,331305.0
1521118,344118,Fri Nov 03 20:17:11 +0000 2017,@AmazonHelp I notice the delivery info on your website now shows 3 Nov - 7 Nov. Looks like I was right to have no faith in your delivery guarantee.,1521116.0
2621024,740586,Fri Nov 17 16:24:06 +0000 2017,@AmazonHelp Ok. I will pass this along. Thank you for the quick response. 👍,2621023.0
1608708,493975,Tue Oct 17 13:29:17 +0000 2017,"@AmazonHelp Hi, I had an email saying the order is out for delivery yet the website tracker does not say this?",1608706.0
930108,154246,Mon Nov 20 21:11:12 +0000 2017,"@AmazonHelp Ich soll mich morgen nochmal melden, wenn die Sendung weiterhin nicht ausgeliefert werden sollte.",930107.0
2954521,209609,Wed Nov 29 19:05:17 +0000 2017,@AmazonHelp 29/11/2017Votre colis est en cours de livraison,2954519.0
759757,301536,Wed Oct 11 20:44:50 +0000 2017,"@AmazonHelp Ordered on the 5th, shipped on the 8th, and ETA is anywhere from the 17th to the 24th. But thanks for the patronizing reply.",759756.0
1188146,399408,Sun Oct 15 21:39:08 +0000 2017,@AmazonHelp I placed the order on https://t.co/ySe8JgJ0ke,1188145.0
117906,142147,Fri Nov 24 16:37:55 +0000 2017,@AmazonHelp submitted my response.,117905.0
2614190,739010,Fri Nov 17 13:37:48 +0000 2017,@AmazonHelp 嬉しいです！もっと増やしてください！,2614189.0
351328,199580,Sun Oct 08 11:40:48 +0000 2017,@AmazonHelp Das macht mich jetzt schon ein bisschen paranoid. Führt Amazon irgendeine persönliche Vendetta gegen mich? https://t.co/FpxFDHugAr,351327.0
